BOROUGH,One_Vehicle_Involved,Two_Vehicles_Involved,Three_Vehicles_Involved,More_Vehicle_Involved
QUEENS,12962,70260,4498,1420
BROOKLYN,17375,80207,4980,1612
MANHATTAN,13318,66958,2024,501
BRONX,8627,34385,1962,625
STATEN ISLAND,2343,10676,759,165
